Marquinhos
Ben Knight
Terry Ablade
George Wickens
Adam Forshaw
Ludwig Augustinsson
Juan Larios
Joshua Onomah
Asher Agbinone
Alex Oxlade-Chamberlain
Giulian Biancone
Kamaldeen Sulemana
César Azpilicueta
Sam Surridge
Alex Mighten
Yerry Mina
André Ayew
Viljami Sinisalo
Cody Drameh
Luka Milivojević
Jack Butland
Tony Yogane
Salomón Rondón
Pierre-Emerick Aubameyang
Edouard Mendy
Ed Turns
Nikola Vlašić
Killian Cahill
Junior Firpo
Carl Rushworth
Sergi Canós
Ayoze Pérez
Ramón Sosa
Steve Cook
Rasmus Kristensen
Liam Cooper
Fin Stevens
Diogo Monteiro
Kelechi Iheanacho
Layvin Kurzawa
Naby Keïta
Nicolas Pépé
Çağlar Söyüncü
Mateusz Klich
Romain Perraud
Kofi Balmer
Cristiano Ronaldo
Pontus Jansson
Joel Robles
Neeskens Kebano
Marc Albrighton
Keylor Navas
N'Golo Kanté
George Shelvey
João Félix
Mads Bech Sørensen
Lino Sousa
Renan Lodi
Hugo Lloris
Ruben Loftus-Cheek
Marc Roca
Riyad Mahrez
Sonny Perkins
Matías Viña
Jonjo Shelvey
Mislav Oršić
Jesse Lingard
Junior Stanislas
Enock Mwepu
Oliver McBurnie
Daniel Jebbison
Levi Laing
Leo Castledine
Eric Dier
Alejo Véliz
Luke Plange
Donny van de Beek
Ty Barnett
Imari Samuels
Clément Lenglet
Gonzalo Montiel
Pascal Groß
Cheikhou Kouyaté
Owen Hampson
Máximo Perrone
Han-Noah Massengo
Aidan Francis Clarke
Radek Vitek
Andrew Omobamidele
Sergio Gómez
Joseph Anang
Samy Chouchane
Conor Gallagher
Remo Freuler
Leon Chiwome
Ionuț Radu
Fodé Ballo-Touré
Max Aarons
Jonny Otto
Pervis Estupiñán
Luke Berry
Divock Origi
Detlef Esapa Osong
Sofyan Amrabat
Giovani Lo Celso
Jamie Donley
Matthew Max Dibley-Dias
Mahmoud Dahoud
Charles Sagoe Jr.
Auston Trusty
Moussa Diaby
Michael Dacosta Gonzalez
Calum Scanlon
Raphaël Varane
Davinson Sánchez
Joël Matip
Fred Onyedinma
Noel Bigo Atom
Kim Ji-Soo
Adam Lallana
Facundo Pellistri
Tim Krul
Habeeb Ogunneye
Billy Gilmour
Ivan Toney
Arnaut Danjuma
Vincent Angelini
Vinícius Souza
Fletcher Holman
Felipe
Steven Alzate
Darren Randolph
Ivan Perišić
Ted Curd
Philippe Coutinho
Kurt Zouma
Javier Manquillo
Lawrence Vigouroux
Kevin Mbabu
Ansu Fati
Willy Kambwala
Rhian Brewster
Ben Osborn
Jaïro Riedewald
Loris Karius
Ethan Horvath
Wayne Hennessey
Pelly Ruddock Mpanzu
Vitinho
Ismaila Cheick Coulibaly
Ronnie Stutter
Filip Marschall
Rhys Bennett
Franco Umeh
Valintino Adedokun
Dominic Martins
Teddy Sharman-Lowe
Carlton Morris
Adrián
Marek Rodák
Finley Munroe
Antwoine Hackford
Mackenzie Hunt
Taylan Harris
Nicolò Zaniolo
Amari'i Bell
Lander Emery
Pablo Fornals
Yago Santiago
Saman Ghoddos
Dovydas Sasnauskas
Jili Buyabu
Luca Barrington
Tayo Adaramola
Lorenz Assignon
Luc De Fougerolles
Mauro Bandeira
Devan Tanton
Harry Toffolo
Matthew Whittingham
Joe Rothwell
Kristian Šekularac
Omari Kellyman
Gavin Kilkenny
Anass Zaroury
Ben Mee
Joe Gardner
Odeluga Offiah
Thomas Strakosha
Cauley Woodrow
Serge Aurier
Nuno Tavares
Zak Sturge
Axel Piesold
Matt Ritchie
Ameen Al-Dakhil
Max Lowe
John Fleck
Anel Ahmedhodžić
Benicio Boaitey
Deivid Washington
Billy Blacker
Thiago Alcântara
Ishé Samuels-Smith
Ademola Ola-Adebomi
Álvaro Carreras
Lewis Koumas
Roshaun Mathurin
Fabian Mrozek
Ben Godfrey
Danilo
Aymeric Laporte
David Ozoh
Valentín Barco
Joe Hugill
Andy Lonergan
Bobby Clark
Zanka
Ivo Grbić
Eddie Beach
Benjamin Fredrick
Ui-Jo Hwang
Pierre-Emile Højbjerg
Moussa Niakhaté
Maxwell Kinsey-Wellings
Tim Ream
Daiki Hashioka
Luke Harris
Rodrigo Ribeiro
Yasser Larouci
Jadan Raymond
Leigh Kavanagh
Omari Forson
Kaine Kesler-Hayden
Aleksandar Mitrović
Owen Hesketh
Lewis Warrington
Jóhann Guðmundsson
Kiano Dyer
Ojinnaka Temple
Bradley Ibrahim
Jayden Luker
Josh Brownhill
Jakub Moder
Jordan Amissah
Tyrese Francois
Jay Rodriguez
Angelo Ogbonna
Oliver Norwood
Saïd Benrahma
Marcelo Pitaluga
Thilo Kehrer
John-Kymani Gordon
Mason Burstow
Tommi O'Reilly
Mohamed Elneny
Mahamadou Susoho
Conrad Jaden Egan-Riley
Jamie McDonnell
Jimi Tauriainen
Anthony Martial
Reece Burke
Alfie Doughty
Mark O'Mahony
Cameron Peupion
Paul Dummett
Micah Hamilton
